City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
323,Chuy,UY,-33.6971,-53.4616,287.54,98,100,2.78,overcast clouds
324,Soteapan,MX,18.2333,-94.8667,294.79,90,98,2.29,overcast clouds
325,Akkermanovka,RU,51.2467,58.2391,297.95,42,72,3.99,broken clouds
326,Richards Bay,ZA,-28.783,32.0377,289.38,81,81,9.07,light rain
327,Latur,IN,18.4,76.5833,297.66,79,100,6.53,overcast clouds
328,Port Lincoln,AU,-34.7333,135.8667,289.49,59,97,6.06,overcast clouds
329,Port Blair,IN,11.6667,92.75,302.23,73,97,3.06,overcast clouds
330,Flin Flon,CA,54.7682,-101.865,281.69,91,100,2.35,overcast clouds
331,Alpena,US,45.0617,-83.4327,296.33,82,0,1.54,clear sky
332,Fez,MA,34.0372,-4.9998,297.29,27,0,2.06,clear sky
333,Langxiang,CN,46.95,128.8833,292.94,80,100,1.53,heavy intensity rain
334,Sioux Lookout,CA,50.1001,-91.917,286.57,98,36,2.85,scattered clouds
335,Trelleborg,SE,55.3751,13.1569,288.14,80,98,5.62,overcast clouds
336,Ouallam,NE,14.3188,2.0866,300.88,58,100,4.75,overcast clouds
337,Whitehorse,CA,60.7161,-135.0538,288.16,56,91,3.45,overcast clouds
338,Sungaipenuh,ID,-2.0833,101.3833,297.45,75,92,0.76,overcast clouds
339,Ulfborg,DK,56.2673,8.3217,285.36,85,84,4.87,broken clouds
340,Spasskoye,RU,44.6108,132.7969,291.49,96,100,2.99,overcast clouds
341,Adrar,MR,20.5022,-10.0711,303.11,49,12,6.63,few clouds
342,Luanda,AO,-8.8368,13.2343,294.15,88,75,2.57,broken clouds
343,Yueyang,CN,29.3333,113.0919,307.25,61,18,3.12,few clouds
344,Emerald,AU,-23.5333,148.1667,295.56,49,0,3.36,clear sky
345,Balabac,PH,7.9868,117.0645,303.26,67,74,2.11,broken clouds
346,Kaoma,ZM,-14.7833,24.8,283.33,79,1,2.53,clear sky
